usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;Index;Annee_naissance;Enfnat_en_conduite;Presence_enfant;plage_revenu;Valeur_residence;Point_perdu
Private;Sports Car;no;0;14.0;Highly Urban/ Urban;24/04/2020;complet;dev_premium;1909;1980;Non;Non;25k-50k€;0-75k€;0-4pts
Private;z_SUV;no;2;6.0;Highly Urban/ Urban;13/04/2020;incomplet;dev_express;1910;1966;Oui;Oui;25k-50k€;-;0-4pts
Commercial;Panel Truck;yes;4;;Highly Urban/ Urban;06/08/2019;complet;dev_integral;1911;1961;Oui;Oui;50k-75k€;-;0-4pts
Private;z_SUV;no;0;13.0;Highly Urban/ Urban;23/05/2020;complet;dev_express;1912;1956;Oui;Oui;50k-75k€;150-200k€;0-4pts
Commercial;z_SUV;no;2;1.0;Highly Urban/ Urban;05/02/2021;complet;dev_express;1913;1979;Non;Non;25k-50k€;0-75k€;0-4pts
Private;z_SUV;no;1;11.0;Highly Urban/ Urban;25/06/2021;complet;dev_express;1914;1970;Non;Non;0-25k€;75-150k€;0-4pts
Private;Sports Car;yes;9;8.0;Highly Urban/ Urban;14/03/2022;complet;dev_express;1915;2008;Non;Non;25k-50k€;75-150k€;8-12pts
Commercial;Pickup;yes;4;7.0;Highly Urban/ Urban;11/05/2022;complet;dev_integral;1916;1951;Non;Non;50k-75k€;+200k€;0-4pts
Private;Van;no;4;1.0;Highly Urban/ Urban;08/12/2021;complet;dev_express;1917;1968;Non;Oui;50k-75k€;150-200k€;0-4pts
Commercial;Minivan;yes;0;1.0;Highly Urban/ Urban;09/04/2022;complet;dev_premium;1918;1960;Oui;Oui;25k-50k€;150-200k€;0-4pts
Commercial;Pickup;yes;1;9.0;z_Highly Rural/ Rural;21/10/2019;complet;dev_express;1919;2008;Non;Non;+100k€;+200k€;0-4pts
Commercial;z_SUV;no;2;14.0;z_Highly Rural/ Rural;14/04/2022;complet;dev_premium;1920;1946;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Pickup;yes;0;1.0;z_Highly Rural/ Rural;31/07/2020;complet;dev_express;1921;1939;Non;Oui;0-25k€;-;0-4pts
Private;Sports Car;no;3;7.0;Highly Urban/ Urban;18/04/2022;complet;dev_express;1922;1940;Non;Oui;25k-50k€;75-150k€;0-4pts
Private;Sports Car;no;0;;Highly Urban/ Urban;23/12/2019;complet;dev_integral;1923;1946;Non;Non;25k-50k€;75-150k€;0-4pts
Private;Sports Car;no;0;;Highly Urban/ Urban;08/03/2020;complet;dev_express;1924;1933;Non;Non;-;+200k€;0-4pts
Commercial;Panel Truck;yes;0;;z_Highly Rural/ Rural;18/06/2020;complet;dev_express;1925;2005;Oui;Oui;50k-75k€;+200k€;0-4pts
Private;Pickup;yes;0;1.0;Highly Urban/ Urban;09/08/2021;incomplet;dev_express;1926;1937;Non;Non;25k-50k€;0-75k€;0-4pts
Private;z_SUV;no;0;1.0;Highly Urban/ Urban;24/08/2021;complet;dev_express;1927;1974;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Minivan;no;6;9.0;Highly Urban/ Urban;21/06/2020;complet;dev_express;1928;1952;Non;Non;25k-50k€;0-75k€;4-8pts
Commercial;z_SUV;no;0;13.0;z_Highly Rural/ Rural;22/05/2019;complet;dev_integral;1929;1964;Non;Non;0-25k€;0-75k€;0-4pts
Private;Minivan;yes;0;8.0;Highly Urban/ Urban;01/11/2019;complet;dev_express;1930;1938;Non;Non;0-25k€;0-75k€;0-4pts
Private;Minivan;no;0;19.0;Highly Urban/ Urban;03/06/2021;complet;dev_express;1931;1982;Oui;Oui;75k-100k€;+200k€;0-4pts
Private;Minivan;yes;2;1.0;z_Highly Rural/ Rural;15/08/2019;complet;dev_integral;1932;1968;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;z_SUV;no;2;1.0;Highly Urban/ Urban;12/12/2019;incomplet;dev_premium;1933;1957;Non;Oui;25k-50k€;75-150k€;0-4pts
Private;Minivan;yes;4;8.0;Highly Urban/ Urban;24/11/2019;incomplet;dev_express;1934;1948;Non;Oui;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;9;5.0;Highly Urban/ Urban;15/08/2021;complet;dev_premium;1935;1970;Non;Non;0-25k€;0-75k€;8-12pts
Commercial;Minivan;yes;0;1.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;1936;1972;Non;Non;50k-75k€;0-75k€;0-4pts
Private;Van;yes;1;1.0;Highly Urban/ Urban;10/09/2020;complet;dev_premium;1937;2009;Oui;Oui;50k-75k€;+200k€;0-4pts
Commercial;z_SUV;no;1;9.0;Highly Urban/ Urban;22/06/2021;complet;dev_express;1938;1944;Non;Oui;50k-75k€;+200k€;0-4pts
Commercial;Van;no;0;8.0;Highly Urban/ Urban;23/04/2019;complet;dev_express;1939;2009;Non;Oui;50k-75k€;150-200k€;0-4pts
Commercial;Minivan;yes;6;;Highly Urban/ Urban;09/05/2022;complet;dev_integral;1940;1941;Non;Non;50k-75k€;-;4-8pts
Commercial;Pickup;yes;0;4.0;z_Highly Rural/ Rural;03/12/2019;complet;dev_integral;1941;2006;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Minivan;no;1;17.0;Highly Urban/ Urban;30/03/2019;complet;dev_express;1942;1945;Non;Non;75k-100k€;+200k€;0-4pts
Private;Van;no;3;1.0;z_Highly Rural/ Rural;18/04/2020;incomplet;dev_integral;1943;1994;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Sports Car;no;5;1.0;Highly Urban/ Urban;29/05/2019;complet;dev_express;1944;1951;Non;Oui;50k-75k€;+200k€;4-8pts
Private;Minivan;no;0;7.0;Highly Urban/ Urban;02/08/2020;complet;dev_express;1945;1965;Non;Oui;25k-50k€;75-150k€;0-4pts
Private;Sports Car;no;6;6.0;z_Highly Rural/ Rural;31/05/2020;complet;dev_integral;1946;1994;Non;Oui;0-25k€;0-75k€;4-8pts
Private;Minivan;yes;5;5.0;Highly Urban/ Urban;10/07/2021;complet;dev_integral;1947;1946;Non;Oui;0-25k€;0-75k€;4-8pts
Commercial;Minivan;yes;2;;Highly Urban/ Urban;02/08/2020;complet;dev_premium;1948;1974;Non;Oui;25k-50k€;150-200k€;0-4pts
Commercial;Pickup;no;0;1.0;Highly Urban/ Urban;05/12/2020;complet;dev_premium;1949;1994;Non;Oui;0-25k€;0-75k€;0-4pts
Commercial;Pickup;no;0;12.0;Highly Urban/ Urban;25/08/2020;complet;dev_integral;1950;2012;Non;Non;+100k€;+200k€;0-4pts
Private;Sports Car;no;0;11.0;Highly Urban/ Urban;20/08/2021;complet;dev_integral;1951;2016;Non;Non;25k-50k€;75-150k€;0-4pts
Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;10/12/2020;incomplet;dev_express;1952;1958;Non;Non;25k-50k€;+200k€;0-4pts
Commercial;z_SUV;no;0;1.0;z_Highly Rural/ Rural;01/08/2019;complet;dev_premium;1953;2020;Non;Non;50k-75k€;+200k€;0-4pts
Private;Minivan;no;0;12.0;z_Highly Rural/ Rural;04/02/2022;complet;dev_express;1954;1964;Non;Non;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;0;8.0;z_Highly Rural/ Rural;20/07/2019;complet;dev_premium;1955;1936;Non;Non;-;150-200k€;0-4pts
Private;Minivan;yes;0;19.0;Highly Urban/ Urban;03/08/2021;complet;dev_integral;1956;1948;Non;Non;50k-75k€;+200k€;0-4pts
Private;Pickup;yes;2;5.0;z_Highly Rural/ Rural;12/07/2020;complet;dev_integral;1957;1962;Oui;Oui;0-25k€;0-75k€;0-4pts
Private;Minivan;no;1;9.0;Highly Urban/ Urban;18/04/2021;complet;dev_integral;1958;1948;Non;Non;25k-50k€;75-150k€;0-4pts
Private;Minivan;no;0;14.0;Highly Urban/ Urban;24/08/2021;complet;dev_integral;1959;1977;Non;Oui;+100k€;+200k€;0-4pts
Private;Pickup;yes;1;22.0;Highly Urban/ Urban;05/12/2019;incomplet;dev_express;1960;1980;Non;Non;+100k€;+200k€;0-4pts
Commercial;Van;no;6;14.0;Highly Urban/ Urban;24/03/2022;incomplet;dev_integral;1961;1968;Non;Non;+100k€;0-75k€;4-8pts
Private;z_SUV;no;1;13.0;Highly Urban/ Urban;23/07/2020;complet;dev_integral;1962;1995;Non;Non;-;-;0-4pts
Private;Sports Car;no;0;13.0;Highly Urban/ Urban;21/12/2020;complet;dev_integral;1963;1950;Non;Non;25k-50k€;0-75k€;0-4pts
Commercial;Pickup;yes;8;8.0;Highly Urban/ Urban;15/04/2021;complet;dev_integral;1964;1958;Non;Oui;0-25k€;0-75k€;4-8pts
Commercial;z_SUV;no;1;9.0;Highly Urban/ Urban;31/05/2021;complet;dev_premium;1965;1944;Non;Non;50k-75k€;+200k€;0-4pts
Private;Minivan;no;2;7.0;z_Highly Rural/ Rural;24/12/2019;complet;dev_integral;1966;1936;Non;Oui;25k-50k€;150-200k€;0-4pts
Private;Sports Car;no;3;1.0;Highly Urban/ Urban;16/01/2020;complet;dev_express;1967;1994;Non;Oui;0-25k€;75-150k€;0-4pts
Commercial;Pickup;yes;4;6.0;Highly Urban/ Urban;04/09/2020;complet;dev_express;1968;1939;Non;Oui;50k-75k€;150-200k€;0-4pts
Private;Minivan;no;6;18.0;Highly Urban/ Urban;14/10/2021;complet;dev_integral;1969;1967;Non;Oui;25k-50k€;150-200k€;4-8pts
Commercial;z_SUV;no;0;1.0;z_Highly Rural/ Rural;10/01/2020;complet;dev_integral;1970;1969;Oui;Oui;75k-100k€;+200k€;0-4pts
Private;Minivan;yes;1;1.0;Highly Urban/ Urban;02/11/2021;complet;dev_integral;1971;1967;Non;Non;0-25k€;75-150k€;0-4pts
Private;z_SUV;no;0;7.0;z_Highly Rural/ Rural;02/11/2020;complet;dev_integral;1972;1962;Oui;Oui;25k-50k€;150-200k€;0-4pts
Private;Sports Car;no;1;3.0;z_Highly Rural/ Rural;10/05/2020;complet;dev_express;1973;1969;Non;Oui;50k-75k€;150-200k€;0-4pts
Private;Sports Car;no;3;1.0;Highly Urban/ Urban;14/10/2019;incomplet;dev_express;1974;1982;Non;Non;25k-50k€;75-150k€;0-4pts
Commercial;Van;yes;0;;Highly Urban/ Urban;12/08/2021;complet;dev_integral;1975;1958;Non;Oui;25k-50k€;75-150k€;0-4pts
Commercial;Pickup;no;6;;Highly Urban/ Urban;12/09/2020;complet;dev_premium;1976;1966;Non;Non;25k-50k€;+200k€;4-8pts
Private;Minivan;no;0;7.0;Highly Urban/ Urban;18/10/2020;complet;dev_integral;1977;1979;Non;Non;25k-50k€;150-200k€;0-4pts
Commercial;Sports Car;no;3;11.0;Highly Urban/ Urban;14/09/2021;complet;dev_express;1978;1957;Non;Oui;75k-100k€;+200k€;0-4pts
Private;Pickup;no;0;9.0;Highly Urban/ Urban;28/11/2020;complet;dev_integral;1979;1973;Non;Non;25k-50k€;+200k€;0-4pts
Private;Minivan;yes;6;1.0;Highly Urban/ Urban;22/05/2021;complet;dev_integral;1980;1934;Non;Non;0-25k€;150-200k€;4-8pts
Private;Van;yes;0;18.0;Highly Urban/ Urban;12/05/2019;complet;dev_integral;1981;1973;Non;Non;+100k€;0-75k€;0-4pts
Private;Minivan;yes;0;17.0;Highly Urban/ Urban;15/11/2020;complet;dev_express;1982;1951;Non;Non;-;0-75k€;0-4pts
Private;Minivan;no;2;16.0;Highly Urban/ Urban;13/11/2020;complet;dev_express;1983;1977;Non;Non;0-25k€;-;0-4pts
Commercial;Panel Truck;yes;1;8.0;Highly Urban/ Urban;19/04/2022;complet;dev_premium;1984;1961;Oui;Oui;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;17/04/2021;complet;dev_integral;1985;1997;Non;Non;0-25k€;75-150k€;0-4pts
Private;Van;yes;0;14.0;Highly Urban/ Urban;07/09/2020;complet;dev_integral;1986;1962;Non;Oui;75k-100k€;+200k€;0-4pts
Commercial;z_SUV;no;0;5.0;Highly Urban/ Urban;04/12/2021;complet;dev_integral;1987;1949;Non;Non;75k-100k€;0-75k€;0-4pts
Private;Minivan;no;0;;Highly Urban/ Urban;30/03/2019;incomplet;dev_express;1988;1982;Non;Oui;0-25k€;150-200k€;0-4pts
Private;Sports Car;no;0;6.0;Highly Urban/ Urban;29/05/2020;incomplet;dev_express;1989;1973;Non;Non;0-25k€;75-150k€;0-4pts
Commercial;Minivan;yes;5;6.0;Highly Urban/ Urban;02/01/2020;complet;dev_premium;1990;2016;Non;Non;25k-50k€;-;4-8pts
Commercial;Minivan;no;1;9.0;Highly Urban/ Urban;21/01/2020;complet;dev_express;1991;1966;Non;Non;25k-50k€;0-75k€;0-4pts
Private;Minivan;yes;2;6.0;Highly Urban/ Urban;11/06/2019;complet;dev_vip;1992;2020;Non;Non;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;3;1.0;Highly Urban/ Urban;15/02/2020;complet;dev_premium;1993;2009;Non;Non;0-25k€;0-75k€;0-4pts
Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;08/11/2021;complet;dev_integral;1994;1974;Non;Oui;25k-50k€;75-150k€;0-4pts
Private;z_SUV;no;3;8.0;Highly Urban/ Urban;20/03/2022;incomplet;dev_express;1995;1985;Non;Non;75k-100k€;+200k€;0-4pts
Commercial;Pickup;no;3;9.0;Highly Urban/ Urban;01/07/2019;complet;dev_express;1996;1993;Non;Oui;25k-50k€;150-200k€;0-4pts
Commercial;Van;no;3;11.0;Highly Urban/ Urban;28/11/2019;complet;dev_integral;1997;1999;Non;Non;+100k€;0-75k€;0-4pts
Private;Van;no;0;6.0;Highly Urban/ Urban;07/03/2020;complet;dev_integral;1998;2018;Non;Non;0-25k€;150-200k€;0-4pts
Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;13/06/2021;complet;dev_express;1999;1941;Oui;Oui;25k-50k€;-;0-4pts
Private;Pickup;no;3;15.0;Highly Urban/ Urban;31/05/2019;complet;dev_express;2000;1972;Non;Non;75k-100k€;+200k€;0-4pts
Private;Minivan;no;2;1.0;Highly Urban/ Urban;04/03/2021;complet;dev_integral;2001;1943;Non;Non;25k-50k€;0-75k€;0-4pts
Commercial;Panel Truck;no;0;8.0;Highly Urban/ Urban;11/10/2020;complet;dev_express;2002;1947;Non;Non;25k-50k€;0-75k€;0-4pts
Commercial;Van;yes;6;8.0;Highly Urban/ Urban;23/06/2020;complet;dev_premium;2003;1967;Non;Non;75k-100k€;+200k€;4-8pts
Private;Minivan;no;0;15.0;Highly Urban/ Urban;09/01/2021;complet;dev_premium;2004;2006;Non;Non;+100k€;+200k€;0-4pts
Private;z_SUV;no;0;8.0;Highly Urban/ Urban;22/12/2019;complet;dev_integral;2005;1956;Non;Non;75k-100k€;+200k€;0-4pts
Commercial;Minivan;yes;0;1.0;z_Highly Rural/ Rural;18/05/2020;incomplet;dev_integral;2006;1964;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Pickup;no;1;1.0;Highly Urban/ Urban;30/01/2020;complet;dev_integral;2007;1982;Non;Oui;0-25k€;0-75k€;0-4pts
Private;Minivan;yes;1;15.0;Highly Urban/ Urban;19/02/2020;complet;dev_express;2008;1958;Non;Non;50k-75k€;+200k€;0-4pts
Private;z_SUV;no;2;;Highly Urban/ Urban;03/05/2020;complet;dev_express;2009;1948;Non;Non;50k-75k€;150-200k€;0-4pts
Private;z_SUV;no;0;5.0;z_Highly Rural/ Rural;03/04/2022;complet;dev_integral;2010;1971;Non;Oui;25k-50k€;150-200k€;0-4pts
Commercial;Pickup;no;1;2.0;Highly Urban/ Urban;09/02/2020;incomplet;dev_integral;2011;2017;Non;Oui;25k-50k€;75-150k€;0-4pts
Commercial;Panel Truck;yes;1;6.0;Highly Urban/ Urban;24/05/2019;complet;dev_integral;2012;1968;Non;Oui;50k-75k€;150-200k€;0-4pts
Private;z_SUV;no;3;8.0;Highly Urban/ Urban;23/03/2020;complet;dev_integral;2013;1973;Non;Non;25k-50k€;150-200k€;0-4pts
Private;Minivan;yes;7;7.0;Highly Urban/ Urban;16/03/2022;incomplet;dev_integral;2014;1968;Non;Non;75k-100k€;+200k€;4-8pts
Private;z_SUV;no;1;5.0;Highly Urban/ Urban;21/09/2020;complet;dev_vip;2015;2002;Non;Oui;0-25k€;75-150k€;0-4pts
Private;Sports Car;no;0;11.0;z_Highly Rural/ Rural;26/08/2019;complet;dev_express;2016;1986;Non;Non;50k-75k€;+200k€;0-4pts
Private;Minivan;yes;0;1.0;Highly Urban/ Urban;25/01/2021;complet;dev_express;2017;2014;Non;Non;50k-75k€;+200k€;0-4pts
Private;Minivan;yes;4;10.0;Highly Urban/ Urban;29/04/2019;complet;dev_express;2018;1970;Non;Oui;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;6;12.0;Highly Urban/ Urban;31/08/2021;complet;dev_express;2019;1981;Non;Non;0-25k€;0-75k€;4-8pts
Private;Minivan;yes;4;1.0;Highly Urban/ Urban;17/01/2021;complet;dev_integral;2020;1935;Non;Non;25k-50k€;75-150k€;0-4pts
Private;Minivan;yes;5;7.0;Highly Urban/ Urban;07/10/2020;complet;dev_integral;2021;1957;Non;Non;25k-50k€;75-150k€;4-8pts
Commercial;Pickup;yes;0;1.0;Highly Urban/ Urban;12/12/2020;complet;dev_integral;2022;1934;Non;Non;+100k€;+200k€;0-4pts
Commercial;Pickup;yes;0;1.0;z_Highly Rural/ Rural;19/01/2020;complet;dev_integral;2023;2022;Non;Oui;25k-50k€;150-200k€;0-4pts
Private;Minivan;no;0;;z_Highly Rural/ Rural;15/04/2021;complet;dev_premium;2024;2011;Non;Oui;0-25k€;75-150k€;0-4pts
Commercial;Pickup;no;1;10.0;z_Highly Rural/ Rural;14/12/2021;complet;dev_integral;2025;1958;Non;Non;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;0;10.0;z_Highly Rural/ Rural;25/12/2021;complet;dev_express;2026;1936;Non;Oui;0-25k€;75-150k€;0-4pts
Private;z_SUV;no;2;6.0;Highly Urban/ Urban;31/01/2021;complet;dev_integral;2027;1964;Oui;Oui;0-25k€;0-75k€;0-4pts
Commercial;Panel Truck;no;1;20.0;Highly Urban/ Urban;07/12/2021;complet;dev_integral;2028;1974;Non;Oui;+100k€;+200k€;0-4pts
Commercial;Pickup;yes;1;1.0;Highly Urban/ Urban;16/10/2020;incomplet;dev_integral;2029;1956;Oui;Oui;0-25k€;0-75k€;0-4pts
Private;Minivan;no;3;14.0;Highly Urban/ Urban;26/07/2021;complet;dev_integral;2030;1941;Non;Non;50k-75k€;150-200k€;0-4pts
Private;Sports Car;no;0;7.0;z_Highly Rural/ Rural;22/10/2019;incomplet;dev_express;2031;1962;Non;Oui;50k-75k€;0-75k€;0-4pts
Private;Minivan;yes;0;21.0;Highly Urban/ Urban;17/11/2019;complet;dev_premium;2032;1994;Non;Non;25k-50k€;0-75k€;0-4pts
Private;Sports Car;no;0;17.0;Highly Urban/ Urban;06/07/2019;complet;dev_premium;2033;1959;Non;Oui;50k-75k€;150-200k€;0-4pts
Private;Minivan;no;1;8.0;z_Highly Rural/ Rural;18/01/2022;complet;dev_integral;2034;2004;Oui;Oui;50k-75k€;150-200k€;0-4pts
Private;z_SUV;yes;0;1.0;Highly Urban/ Urban;24/05/2020;complet;dev_integral;2035;1990;Oui;Oui;50k-75k€;+200k€;0-4pts
Private;Sports Car;no;5;9.0;Highly Urban/ Urban;19/06/2021;complet;dev_integral;2036;1960;Non;Non;0-25k€;0-75k€;4-8pts
Commercial;Panel Truck;no;0;1.0;z_Highly Rural/ Rural;21/03/2019;complet;dev_integral;2037;2002;Non;Non;50k-75k€;+200k€;0-4pts
Private;z_SUV;no;3;1.0;Highly Urban/ Urban;19/09/2019;incomplet;dev_integral;2038;1997;Non;Oui;0-25k€;0-75k€;0-4pts
Private;z_SUV;no;0;14.0;Highly Urban/ Urban;30/06/2020;complet;dev_integral;2039;1984;Non;Non;0-25k€;75-150k€;0-4pts
Commercial;Pickup;yes;0;7.0;Highly Urban/ Urban;31/12/2021;complet;dev_integral;2040;1951;Non;Non;50k-75k€;0-75k€;0-4pts
Private;Sports Car;no;4;12.0;Highly Urban/ Urban;11/03/2020;complet;dev_express;2041;2012;Non;Oui;0-25k€;75-150k€;0-4pts
Commercial;z_SUV;no;0;14.0;Highly Urban/ Urban;21/11/2019;incomplet;dev_express;2042;1948;Non;Non;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;6;7.0;z_Highly Rural/ Rural;30/07/2019;incomplet;dev_integral;2043;2003;Non;Oui;25k-50k€;150-200k€;4-8pts
Private;z_SUV;no;0;13.0;Highly Urban/ Urban;05/11/2019;complet;dev_premium;2044;1951;Non;Oui;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;0;15.0;Highly Urban/ Urban;11/04/2021;complet;dev_integral;2045;1952;Non;Non;25k-50k€;0-75k€;0-4pts
Private;Minivan;no;1;6.0;Highly Urban/ Urban;24/07/2020;complet;dev_integral;2046;1993;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;Pickup;yes;5;1.0;Highly Urban/ Urban;13/04/2021;complet;dev_integral;2047;1992;Non;Oui;25k-50k€;75-150k€;4-8pts
Commercial;Panel Truck;no;0;11.0;Highly Urban/ Urban;10/02/2021;complet;dev_integral;2048;1960;Non;Non;50k-75k€;+200k€;0-4pts
Private;Pickup;yes;1;1.0;Highly Urban/ Urban;05/04/2019;complet;dev_integral;2049;2021;Non;Oui;25k-50k€;75-150k€;0-4pts
Private;Minivan;yes;2;10.0;Highly Urban/ Urban;05/01/2021;incomplet;dev_express;2050;2000;Non;Non;50k-75k€;150-200k€;0-4pts
Private;Sports Car;no;3;12.0;z_Highly Rural/ Rural;06/12/2020;complet;dev_integral;2051;1965;Oui;Oui;0-25k€;0-75k€;0-4pts
Commercial;Van;yes;6;;Highly Urban/ Urban;29/07/2019;complet;dev_express;2052;1934;Non;Non;+100k€;0-75k€;4-8pts
Commercial;Van;no;5;1.0;Highly Urban/ Urban;23/08/2020;incomplet;dev_integral;2053;1957;Non;Non;0-25k€;75-150k€;4-8pts
Private;z_SUV;no;0;9.0;z_Highly Rural/ Rural;05/12/2021;complet;dev_premium;2054;1968;Non;Non;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;1;10.0;Highly Urban/ Urban;25/08/2019;complet;dev_integral;2055;1961;Non;Non;50k-75k€;-;0-4pts
Private;Minivan;no;0;12.0;Highly Urban/ Urban;01/05/2021;complet;dev_integral;2056;1950;Non;Non;+100k€;0-75k€;0-4pts
Commercial;Pickup;no;4;13.0;Highly Urban/ Urban;29/10/2021;complet;dev_integral;2057;1969;Non;Oui;75k-100k€;+200k€;0-4pts
Private;Minivan;no;0;19.0;Highly Urban/ Urban;18/09/2021;complet;dev_express;2058;2005;Non;Non;75k-100k€;+200k€;0-4pts
Private;z_SUV;no;8;1.0;Highly Urban/ Urban;31/03/2020;complet;dev_express;2059;1942;Non;Oui;50k-75k€;0-75k€;4-8pts
Private;z_SUV;no;4;6.0;z_Highly Rural/ Rural;31/12/2019;complet;dev_premium;2060;2019;Non;Oui;0-25k€;75-150k€;0-4pts
Private;Sports Car;no;4;5.0;Highly Urban/ Urban;01/06/2019;incomplet;dev_express;2061;1993;Non;Non;50k-75k€;+200k€;0-4pts
Commercial;z_SUV;no;0;7.0;Highly Urban/ Urban;03/09/2021;complet;dev_express;2062;2021;Non;Non;0-25k€;0-75k€;0-4pts
Commercial;z_SUV;no;2;8.0;Highly Urban/ Urban;23/08/2019;complet;dev_express;2063;1992;Non;Non;50k-75k€;+200k€;0-4pts
Private;z_SUV;yes;6;1.0;Highly Urban/ Urban;06/03/2021;complet;dev_integral;2064;2014;Non;Non;0-25k€;150-200k€;4-8pts
Commercial;Pickup;no;0;4.0;Highly Urban/ Urban;11/11/2019;complet;dev_premium;2065;1998;Non;Non;25k-50k€;150-200k€;0-4pts
Commercial;z_SUV;no;0;7.0;z_Highly Rural/ Rural;28/04/2019;complet;dev_express;2066;1997;Oui;Oui;0-25k€;0-75k€;0-4pts
Commercial;Pickup;no;0;1.0;Highly Urban/ Urban;17/09/2021;complet;dev_express;2067;1965;Non;Non;50k-75k€;150-200k€;0-4pts
Commercial;Van;yes;3;9.0;z_Highly Rural/ Rural;23/02/2020;complet;dev_express;2068;1988;Non;Non;-;+200k€;0-4pts
Private;Pickup;no;0;12.0;Highly Urban/ Urban;16/04/2020;complet;dev_integral;2069;1943;Non;Non;75k-100k€;+200k€;0-4pts
Private;Sports Car;no;2;1.0;Highly Urban/ Urban;01/09/2021;complet;dev_premium;2070;1972;Non;Oui;-;0-75k€;0-4pts
Private;z_SUV;no;2;7.0;Highly Urban/ Urban;30/09/2019;complet;dev_vip;2071;2022;Non;Non;-;75-150k€;0-4pts
Commercial;Panel Truck;yes;1;16.0;Highly Urban/ Urban;23/03/2022;complet;dev_express;2072;1974;Non;Non;+100k€;+200k€;0-4pts
Private;Minivan;no;0;12.0;Highly Urban/ Urban;15/10/2021;complet;dev_premium;2073;1999;Non;Non;0-25k€;-;0-4pts
Private;Minivan;no;4;8.0;Highly Urban/ Urban;10/07/2019;complet;dev_express;2074;2006;Oui;Oui;50k-75k€;+200k€;0-4pts
Private;z_SUV;no;0;7.0;z_Highly Rural/ Rural;20/09/2019;complet;dev_integral;2075;1956;Non;Non;25k-50k€;150-200k€;0-4pts
Private;z_SUV;no;7;16.0;Highly Urban/ Urban;10/08/2019;complet;dev_integral;2076;2000;Non;Non;25k-50k€;+200k€;4-8pts
Commercial;Panel Truck;yes;6;1.0;Highly Urban/ Urban;09/03/2021;complet;dev_integral;2077;2009;Non;Non;75k-100k€;+200k€;4-8pts
Private;Minivan;no;0;8.0;Highly Urban/ Urban;06/04/2019;complet;dev_express;2078;1951;Oui;Oui;75k-100k€;0-75k€;0-4pts
Commercial;z_SUV;no;1;8.0;Highly Urban/ Urban;27/05/2019;complet;dev_express;2079;2012;Non;Oui;+100k€;+200k€;0-4pts
Private;Van;yes;0;1.0;z_Highly Rural/ Rural;16/01/2020;complet;dev_integral;2080;1936;Non;Non;0-25k€;0-75k€;0-4pts
Private;z_SUV;yes;1;;Highly Urban/ Urban;02/05/2022;complet;dev_integral;2081;1960;Non;Non;25k-50k€;0-75k€;0-4pts
Commercial;Van;no;1;5.0;Highly Urban/ Urban;19/01/2022;complet;dev_express;2082;1973;Non;Non;25k-50k€;+200k€;0-4pts
Commercial;z_SUV;no;8;7.0;Highly Urban/ Urban;20/02/2020;complet;dev_express;2083;1944;Non;Oui;25k-50k€;150-200k€;4-8pts
Private;z_SUV;no;5;1.0;Highly Urban/ Urban;16/08/2020;incomplet;dev_express;2084;1997;Non;Non;0-25k€;0-75k€;4-8pts
Private;Sports Car;no;0;1.0;Highly Urban/ Urban;04/11/2021;incomplet;dev_express;2085;1963;Non;Non;0-25k€;75-150k€;0-4pts
Private;Minivan;no;2;1.0;z_Highly Rural/ Rural;24/12/2019;complet;dev_express;2086;1994;Non;Oui;50k-75k€;0-75k€;0-4pts
Private;z_SUV;no;3;10.0;z_Highly Rural/ Rural;01/05/2021;complet;dev_express;2087;1997;Non;Oui;25k-50k€;0-75k€;0-4pts
Commercial;Panel Truck;no;0;1.0;Highly Urban/ Urban;28/09/2019;complet;dev_premium;2088;1967;Non;Oui;25k-50k€;75-150k€;0-4pts
Commercial;z_SUV;no;0;12.0;z_Highly Rural/ Rural;11/01/2021;complet;dev_express;2089;1980;Non;Oui;50k-75k€;150-200k€;0-4pts
Private;Pickup;no;0;8.0;Highly Urban/ Urban;20/07/2020;complet;dev_express;2090;1935;Non;Non;25k-50k€;150-200k€;0-4pts
